Place,CarNum,Team,AdjustedCost,PriceScore,RealCaseScore,ReportFeasibility,Penalty,Score
85,4,Graz Univ of Technology,"$20,252",6,20,32.6,,58.57
86,57,Carnegie Mellon Univ,"$17,539",10.4,17,30.1,,57.52
87,129,Vanderbilt Univ,"$13,815",19.2,15,23,,57.23
88,100,North Carolina A & T State Univ,"$13,122",21.4,17,28.6,-10,57
89,30,South Dakota Sch of Mines & Tech,"$20,314",5.9,18,32.2,,56.1
90,102,Bradley Univ,"$14,932",16.1,18,21.8,,55.94
91,2,Technical Univ of Munich,"$19,015",7.8,20,28.1,,55.91
92,118,Metropolia University of Applied Science,"$25,663",,20,35.5,,55.46
93,9,Univ of Kansas - Lawrence,"$19,543",7,15,33.1,,55.13
94,39,Auburn Univ,"$18,777",8.2,17,28.6,,53.77
95,32,Univ of St Thomas,"$15,884",13.8,12,24.5,,50.32
96,116,Univ of Pittsburgh - Pittsburgh,"$18,691",8.4,18,22.9,,49.26
97,74,Texas Tech Univ,"$19,186",7.6,17,24.2,,48.79
98,63,Ecole Polytechnique De Montreal,"$18,719",8.3,17,23.3,,48.65
99,80,Cornell Univ,"$21,876",3.9,14,30.5,,48.4
100,84,Univ of Maine,"$13,634",19.8,12,23.1,-10,44.85
101,106,Old Dominion Univ,"$21,982",3.8,14,25.2,,42.94
102,112,Temple Univ,"$20,595",5.5,20,17,,42.49
103,41,Louisiana State Univ,"$14,385",17.6,17,11.7,-30,16.23
104,121,Florida International Univ,"$11,490",27.6,18,30.3,-60,15.95
105,95,Univ of California-Merced,,,,,-100,-100
,23,Hudson Valley Comm College,,,,,,
,53,Universidad de Oriente,,,,,,
,55,Western Michigan Univ,,,,,,
,69,Univ of Ontario Institute of Tech,,,,,,
,70,Cegep du Vieux - Montreal,,,,,,
,83,Worcester Polytechnic Inst,,,,,,
,85,Sheridan College,,,,,,
,91,Univ of Kentucky,,,,,,
,101,Northern Illinois Univ,,,,,,
,103,Univ of Alabama - Tuscaloosa,,,,,,
,104,Middle Tennessee State Univ,,,,,,
,110,Florida Atlantic Univ,,,,,,
,124,Central Connecticut State Univ,,,,,,
