Place,CarNum,Team,Time,Laps,Cones,OffCourse,OtherPenalty,AdjTime,EnduranceScore
32,123,Queen's Univ - Ontario Canada,1563.024,22,3,,,1569.024,99.3
33,126,Univ of Waterloo,1525.618,22,1,3,,1587.618,91.9
34,38,Rensselaer Polytechnic Inst,1506.355,22,14,3,,1594.355,89.2
35,115,Universidad Simon Bolivar,1594.853,22,14,,,1622.853,78.4
36,113,Central Michigan Univ,1607.311,22,10,,,1627.311,76.7
37,104,Univ of Evansville,1627.995,22,3,,,1633.995,74.2
38,54,Univ of Kansas - Lawrence,1575.421,22,14,1,30,1653.421,67.1
39,81,Virginia Tech,1623.147,22,12,1,,1667.147,62.2
40,79,Univ of New Hampshire,1609.010,22,10,3,,1689.010,54.5
41,21,Brown Univ,1707.792,22,,,,1707.792,48
42,108,Washington State Univ,1706.006,22,8,,,1722.006,43
43,62,Cooper Union,1673.632,22,5,2,,1723.632,43
44,41,Lawrence Technological Univ,1597.017,22,9,,120,1735.017,39
45,25,Michigan Tech Univ,1729.616,22,,2,,1769.616,28
46,23,Univ of Missouri,1745.697,22,1,2,,1787.697,25
47,35,York College of Pennsylvania,1791.814,22,1,,,1793.814,25
48,94,Stevens Inst of Tech,1782.256,22,6,,,1794.256,25
49,71,Temple Univ,1726.579,22,5,4,,1816.579,25
50,76,Univ of Hartford,1847.710,22,2,,,1851.710,25
51,85,Univ of Kentucky,1816.694,22,3,2,,1862.694,25
52,120,Oakland University,1613.888,22,9,12,,1871.888,25
53,114,Florida Inst of Tech,1846.251,22,10,1,,1886.251,25
54,93,US Air Force Academy,1786.916,22,,,120,1906.916,25
55,19,Mississippi State Univ,1975.921,22,4,,,1983.921,25
56,70,Universidad Metropolitana,1932.035,22,2,3,120,2116.035,25
57,29,Washington Univ - St Louis,1971.379,22,20,9,,2191.379,25
58,24,Purdue Univ - Northwest,2353.328,22,11,,,2375.328,25
59,112,Ferris State University,2094.147,22,12,14,,2398.147,25
,100,Univ of British Columbia - Okangan,1593.138,20,4,16,,,20
,13,Technical Univ of Munich,1141.389,19,,,,,19
,7,Missouri University of Science and Tech,1199.420,19,2,,,,19
,96,Universite Du Quebec a Trois-Rivieres,1178.797,18,2,,,,18
,103,Univ of Central Florida,1225.418,18,5,2,,,18
,72,Saginaw Valley State Univ,1062.089,15,,,,,15
,91,Saint Louis Univ,1280.525,14,5,18,,,14
,82,Univ of Cincinnati,837.613,13,,,,,13
,98,Univ of Puerto Rico-Mayaquez,921.584,12,5,,,,12
,86,Indiana Univ Purdue Univ Indianapolis,684.316,11,5,1,,,11
,65,Univ of Akron,691.052,11,,,,,11
,84,Univ of Toronto,698.505,11,5,,,,11
,51,Carleton Univ,701.741,11,,2,,,11
,50,Rutgers Univ,717.220,11,9,,,,11
,46,US Naval Academy,754.395,11,,1,,,11
,27,South Dakota School of Mines & Tech,758.780,11,,,,,11
,59,Purdue Univ - W Lafayette,769.597,11,1,,,,11
,61,Northwestern Univ,785.772,11,,,,,11
,73,Embry-Riddle Aero Univ - Daytona Beach,807.464,11,3,,,,11
,34,Grand Valley State Univ,843.434,11,8,1,,,11
,31,Univ of Louisiana - Lafayette,897.058,11,10,,120,,11
,30,Lehigh Univ,898.029,11,5,,,,11
,89,Lakehead Univ,825.559,9,,3,,,9
,109,Clemson Univ,549.097,8,1,,,,8
,122,Penn State Univ - University Park,583.234,8,1,3,,,8
,33,Univ of Maryland - College Park,600.257,8,5,1,,,8
,42,Western University,429.651,7,,,,,7
,44,Univ of Guelph,549.531,7,2,1,,,7
,69,Univ of Pittsburgh - Pittsburgh,378.237,6,3,,,,6
,5,Michigan State Univ,307.149,5,,,,,5
,9,Univ of Florida,314.198,5,,,,,5
,88,Ecole De Technologie Superieure,242.137,4,3,,,,4
,39,Western Michigan Univ,219.116,3,,4,,,3
,124,North Carolina State Univ - Raleigh,148.601,2,,,,,2
,20,Minnesota State University - Mankato,67.020,1,1,,,,1
,18,Univ of Illinois - Chicago,0.000,0,,1,,,
,52,Univ of Minnesota-Duluth,0.000,0,,,,,
,87,West Virginia Univ,0.000,0,,1,,,
