Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22,Lap23
Univ of Louisiana - Lafayette,31,98.498,78.427,75.583,71.200,71.257,72.077,75.120,82.986,91.399,87.585,92.926,,,,,,,,,,,,
Louisiana State Univ,32,71.403,66.321,73.147,68.646,68.704,68.730,68.365,68.382,74.096,69.249,68.867,,68.677,64.518,65.493,65.285,64.350,66.864,67.042,66.736,66.538,65.428,65.149
Univ of Maryland - College Park,33,78.997,76.973,71.825,71.426,71.353,65.505,68.809,95.369,,,,,,,,,,,,,,,
Grand Valley State Univ,34,100.871,79.931,72.860,77.959,74.076,73.632,72.753,76.246,72.696,70.520,71.890,,,,,,,,,,,,
York College of Pennsylvania,35,96.685,81.537,79.137,82.774,77.672,80.300,89.224,81.156,79.582,79.100,77.565,,91.888,89.243,81.654,79.942,78.297,87.094,75.147,74.079,79.892,75.311,74.535
Univ of British Columbia,37,73.071,64.172,66.216,64.111,72.452,89.133,69.435,76.508,67.809,71.789,67.173,,64.481,66.102,66.624,67.091,68.161,65.544,77.297,83.122,74.781,70.282,70.968
Rensselaer Polytechnic Inst,38,69.794,66.925,79.238,64.991,66.511,65.818,68.176,65.524,65.487,64.671,65.834,,77.167,71.732,69.387,67.110,67.544,66.635,70.663,67.327,67.280,68.069,70.472
Western Michigan Univ,39,73.783,72.441,72.892,,,,,,,,,,,,,,,,,,,,
Univ of North Florida,40,67.014,64.794,64.902,64.522,65.837,65.219,64.212,65.257,64.235,65.008,65.250,,67.849,67.419,67.443,68.409,67.735,65.379,70.732,64.558,65.521,77.614,70.489
Lawrence Technological Univ,41,71.331,77.357,77.102,73.375,69.248,69.290,69.564,77.465,69.429,68.120,67.720,,70.903,79.509,73.348,72.682,74.729,72.680,72.086,70.990,73.673,73.383,73.033
Western University,42,64.580,62.527,61.483,61.474,60.880,59.386,59.321,,,,,,,,,,,,,,,,
Univ of Guelph,44,79.434,89.448,74.659,80.334,75.540,75.097,75.019,,,,,,,,,,,,,,,,
US Naval Academy,46,75.292,67.728,72.859,67.579,72.085,67.702,67.585,65.432,67.255,66.221,64.657,,,,,,,,,,,,
National Univ of Singapore,47,71.484,73.700,69.364,69.310,68.830,70.753,82.911,76.833,73.920,73.278,75.927,,70.281,67.647,67.002,67.838,67.921,69.793,66.496,65.161,65.543,67.300,68.455
Univ of Connecticut,48,60.990,58.649,58.597,59.877,58.552,59.387,58.537,58.237,60.377,59.754,58.241,,70.521,68.661,69.825,70.236,71.831,76.904,71.341,72.111,69.340,69.836,69.784
Univ of Illinois - Urbana Champaign,49,65.936,63.319,68.853,63.792,62.788,63.451,62.944,65.945,63.272,65.029,63.046,,66.099,69.064,68.521,66.134,67.489,67.276,67.037,68.082,66.855,66.446,69.556
Rutgers Univ,50,80.239,63.786,63.968,62.734,62.579,62.436,64.088,65.458,62.739,63.850,65.343,,,,,,,,,,,,
Carleton Univ,51,62.416,61.550,62.972,65.039,62.535,60.619,63.055,60.247,61.272,68.228,73.808,,,,,,,,,,,,
Univ of Kansas - Lawrence,54,65.527,62.031,62.811,62.239,63.598,65.185,65.246,67.609,64.160,68.610,66.303,,65.249,80.685,65.406,71.803,81.870,78.463,84.393,97.132,79.584,80.297,77.220
Tennessee Tech Univ,55,70.275,70.186,68.475,69.766,69.017,75.387,68.625,67.385,75.906,69.533,67.166,,69.428,69.639,69.787,69.965,68.968,65.814,67.304,66.464,72.167,68.230,69.717
Univ of Victoria,57,65.931,73.649,63.597,62.636,62.068,62.819,64.213,64.335,63.153,68.698,62.649,,65.757,69.313,62.987,65.191,63.781,72.473,70.335,60.886,64.878,67.328,66.934
Universite de Sherbrooke,58,67.869,74.546,67.612,66.746,66.057,68.143,68.081,65.663,65.069,66.727,69.761,,75.739,66.273,62.612,63.041,63.298,64.733,70.236,66.763,69.367,78.164,80.293
Purdue Univ - W Lafayette,59,71.164,67.053,65.629,65.341,64.777,71.779,69.697,68.610,67.652,74.311,83.584,,,,,,,,,,,,
The Ohio State University,60,66.298,64.538,62.616,64.903,65.147,64.576,63.690,66.164,64.464,62.905,62.053,,66.748,64.745,68.209,67.245,65.959,63.904,65.847,63.436,65.227,67.506,69.202
Northwestern Univ,61,76.532,73.980,70.967,72.112,68.791,71.832,68.783,67.956,66.137,76.539,72.143,,,,,,,,,,,,
Cooper Union,62,82.177,80.430,81.617,75.980,74.157,72.197,73.157,77.342,74.698,74.115,74.030,,76.939,71.885,72.821,74.784,78.315,76.958,86.021,72.086,76.084,73.106,74.733
Univ of Akron,65,66.554,63.256,63.831,62.660,61.750,62.457,64.354,63.279,60.694,61.153,61.064,,,,,,,,,,,,
Rochester Institute of Technology,67,64.212,61.562,60.851,60.902,62.439,59.473,60.326,61.522,59.169,59.658,59.064,,61.851,59.480,59.326,58.982,60.226,58.819,58.763,58.917,58.609,58.595,58.586
Univ of Pittsburgh - Pittsburgh,69,64.716,61.518,64.484,61.095,62.353,64.071,,,,,,,,,,,,,,,,,
Universidad Metropolitana,70,93.204,87.721,89.305,92.100,87.802,86.362,85.398,89.333,87.957,87.983,86.065,,89.905,92.309,83.688,88.360,90.914,82.977,81.339,87.751,88.252,87.680,85.630
Temple Univ,71,91.399,76.345,75.081,95.665,75.474,75.623,74.030,76.037,72.681,73.301,80.931,,74.927,74.619,91.108,86.484,79.401,75.187,71.257,76.799,72.481,71.860,85.889
Saginaw Valley State Univ,72,71.148,76.394,69.450,69.457,69.067,71.545,68.948,69.972,71.971,68.391,74.299,,72.375,68.718,67.736,72.618,,,,,,,
Embry-Riddle Aero Univ - Daytona Beach,73,77.723,69.556,71.472,67.266,70.238,65.974,67.187,68.459,82.574,83.290,83.725,,,,,,,,,,,,
Univ of Hartford,76,90.485,76.241,73.903,76.559,85.085,75.983,77.083,77.113,79.593,82.398,84.684,,80.560,81.865,106.299,81.513,84.684,85.260,90.060,84.301,93.601,87.759,92.681
Rose Hulman Inst of Tech,77,69.903,67.960,64.971,63.275,63.224,64.881,64.492,63.981,64.178,67.584,64.742,,68.476,65.431,67.274,63.169,61.654,68.975,66.359,64.938,62.152,61.932,63.651
Polytechnique Montréal,78,69.620,64.062,64.842,71.795,65.093,64.440,65.089,64.669,65.212,64.063,65.231,,69.451,66.819,68.649,65.255,63.365,63.106,66.644,64.496,70.957,62.430,62.812
