CarNum,Team,Country,EngineCylinders,Displacement_cc,Weight_kg,Weight_lbs
87,Univ of Ottawa,CA,4,600,226.3,499
88,Univ of Kentucky,US,4,600,227.2,501
89,California State Poly Univ - Pomona,US,4,600,214.1,472
91,Univ of the Pacific,US,,,,
92,Univ of Michigan - Dearborn,US,2,600,222.3,490
93,Michigan Tech Univ,US,2,500,205,452
95,Purdue Univ - Northwest,US,4,600,205.9,454
96,Univ of Toledo,US,2,471,212.3,468
97,Wayne State Univ,US,4,600,205.9,454
98,Missouri University of Science and Tech,US,4,636,220,485
99,Colorado Mesa University,US,2,650,210.5,464
100,Univ of Arizona,US,4,600,225,496
101,Univ of Manitoba,CA,1,450,191,421
103,Univ of Colorado - Boulder,US,2,689,202.8,447
104,Univ of Texas - Austin,US,4,600,212.3,468
105,Northern Illinois Univ,US,4,600,243.6,537
106,Iowa State Univ,US,4,600,215,474
107,Univ of Hartford,US,1,450,176.4,389
108,Temple Univ,US,4,600,200.9,443
109,UP Aguascalientes,MX,4,600,299.8,661
111,Universidad Panamericana Sede Guadalajar,MX,4,600,296.6,654
112,Universidad Autonoma Estado Mexico,MX,4,600,,
113,Grand Canyon University,US,1,690,257.2,567
114,Southern Illinois Univ - Edwardville,US,4,600,,
115,Univ of Illinois - Chicago,US,4,600,212.3,468
116,North Dakota State Univ,US,1,690,257.2,567
117,Oklahoma State Univ,US,4,636,240.9,531
118,Liberty Univ,US,4,600,222.3,490
119,Kennesaw State University,US,4,600,205.5,453
120,Univ of Saskatchewan,CA,4,600,243.1,536
121,Univ of Colorado - Colorado Springs,US,,,,
122,Trinity Univ,US,4,600,323.9,714
123,Univ of Massachusetts - Lowell,US,4,600,259.5,572
124,Univ of Wisconsin - Madison,US,2,689,211.4,466
125,Southern Illinois Univ - Carbondale,US,4,600,231.3,510
126,ITESM - Campus Cuernavaca,MX,4,636,324.8,716
127,Univ of Minnesota-Duluth,US,,,,
128,North Carolina State Univ - Raleigh,US,4,675,200.5,442
129,California State Univ - Chico,US,1,450,,
130,Vanderbilt Univ,US,,,,
131,Univ of Southern California,US,4,600,227.7,502
132,Wichita State Univ,US,4,600,215,474
133,New York University,US,,,,
134,Instituto Tecnologico de Estudios Superi,MX,4,600,,
135,Alabama A & M Univ,US,4,600,,
136,Syracuse Univ,US,,,,
138,Oakland University,US,4,600,223.2,492
141,St Cloud State Univ,US,4,600,243.1,536
142,Univ of Maine,US,4,600,254.9,562
144,Calvin College,US,,,,
148,CEFET-MG,BR,4,600,212.3,468
