Place,CarNum,Team,D1R1_Right,D1R1_Left,D1R1_Cones,D1R1_AdjTime,D1R2_Right,D1R2_Left,D1R2_Cones,D1R2_AdjTime,D2R1_Right,D2R1_Left,D2R1_Cones,D2R1_AdjTime,D2R2_Right,D2R2_Left,D2R2_Cones,D2R2_AdjTime,BestTime,Penalty,Score
34,71,Oklahoma State Univ,5.653,5.546,2,5.849,5.450,5.330,1,5.515,5.443,5.493,,5.468,5.444,7.620,1,6.657,5.468,,36.4
35,16,Grand Valley State Univ,5.883,5.613,,5.748,5.470,5.476,,5.473,6.843,5.846,,6.344,5.730,5.516,,5.623,5.473,,36.11
35,82,Georgia Institute of Technology,5.660,5.460,2,5.810,5.466,5.480,,5.473,5.704,5.760,1,5.857,5.810,20.460,,13.135,5.473,,36.11
37,48,Colorado Mesa University,5.994,6.140,3,6.442,5.607,5.350,,5.478,7.294,6.823,1,7.183,5.980,5.887,1,6.058,5.478,,35.82
38,114,Saginaw Valley State Univ,5.694,5.666,,5.680,5.620,5.377,,5.498,5.580,5.617,,5.598,5.573,5.410,,5.491,5.491,,35.06
39,13,Univ of Kansas - Lawrence,5.810,5.623,,5.716,5.524,5.476,,5.500,5.977,5.706,,5.841,5.893,,,,5.500,,34.55
40,89,Mississippi State Univ,5.973,5.566,,5.769,5.543,5.473,,5.508,6.093,5.750,,5.921,,,,DNA,5.508,,34.09
41,115,Univ of Texas - Arlington,5.757,6.403,,,5.734,5.413,,5.573,5.500,5.457,1,,5.627,5.393,,5.510,5.510,,33.97
42,56,Clemson Univ,5.666,5.773,,5.719,5.567,5.474,,5.520,66.873,,,,,,,DNA,5.520,,33.4
43,137,Iowa State Univ,5.770,5.447,,5.608,5.456,5.240,,,5.617,5.444,,5.530,5.483,5.200,3,5.716,5.530,,32.83
44,119,Univ of New Hampshire,,,,,5.444,5.630,2,5.787,5.726,5.370,,5.548,5.707,5.267,1,5.612,5.548,,31.82
45,34,California State Univ - Northridge,5.857,5.950,,5.903,5.756,5.574,,5.665,5.753,5.567,,5.660,5.704,5.406,,5.555,5.555,,31.43
46,72,Univ of Cincinnati,6.317,5.893,,6.105,6.013,5.404,,5.708,5.697,5.707,,5.702,5.603,5.524,,5.563,5.563,,30.98
47,29,California State Univ - Chico,6.474,,,,5.703,5.456,,5.579,,,,DNA,,,,DNA,5.579,,30.1
48,113,Univ of Oklahoma,5.983,5.707,,5.845,5.693,5.467,,5.580,6.080,5.697,,5.888,6.297,5.770,1,6.158,5.580,,30.04
49,14,California Polytechnic State Univ-SLO,5.783,5.564,,5.673,5.690,5.477,,5.583,5.800,5.927,,5.863,5.810,6.007,,5.908,5.583,,29.88
50,37,Michigan Tech Univ,,,,,5.590,5.580,,5.585,,,,DNA,,,,DNA,5.585,,29.77
51,58,Drexel Univ,6.167,6.060,,6.113,6.127,6.010,,6.068,5.740,5.850,,5.795,5.537,5.647,,5.592,5.592,,29.38
52,134,Univ of Minnesota - Twin Cities,5.813,5.760,,5.786,5.667,5.617,,5.642,5.700,5.693,,5.696,5.573,5.643,,5.608,5.608,,28.51
53,20,Clarkson University,5.667,5.580,,5.623,5.657,5.567,,5.612,,,,DNA,,,,DNA,5.612,,28.3
54,78,Univ of Texas - Dallas,5.797,5.687,2,5.992,5.717,5.527,,5.622,6.000,5.720,,5.860,5.684,5.583,,5.633,5.622,,27.76
55,63,Universidad Metropolitana,5.767,5.600,,5.683,5.853,5.434,4,6.143,5.763,5.510,,5.636,5.606,5.303,3,5.829,5.636,,27.01
56,49,Univ of North Florida,5.887,,,,5.883,5.407,,5.645,,,,DNA,,,,DNA,5.645,,26.53
57,74,Univ of Southern California,5.823,5.717,,5.770,5.717,5.597,,5.657,5.660,5.719,,5.689,5.424,,,,5.657,,25.89
58,55,Univ of North Carolina - Charlotte,5.910,6.440,,6.175,6.126,5.870,,5.998,5.836,5.560,1,5.823,5.656,5.670,,5.663,5.663,,25.57
59,142,Duke Univ,5.730,5.604,,5.667,5.647,5.754,1,5.825,5.977,5.876,,5.926,6.007,5.510,,5.758,5.667,,25.36
60,17,Univ of Victoria,5.770,5.577,,5.673,6.090,5.410,,5.750,6.180,5.710,,5.945,5.906,5.510,,5.708,5.673,,25.05
61,22,South Dakota School of Mines & Tech,6.333,5.830,,6.081,6.030,5.724,,5.877,5.896,5.906,,5.901,5.760,5.593,,5.676,5.676,,24.89
62,141,Univ of Kentucky,5.934,5.816,,5.875,6.267,5.703,,5.985,5.690,5.917,,5.803,5.760,5.714,,5.737,5.737,,21.75
63,45,Lawrence Technological Univ,5.703,,,,6.260,6.214,5,6.862,5.896,5.670,,5.783,5.874,5.723,3,6.173,5.783,,19.45
64,21,Univ of Colorado - Boulder,5.700,6.420,,6.060,5.477,5.337,,,6.217,6.120,,6.168,5.793,5.294,2,5.793,5.793,,18.95
65,53,Michigan State University,5.824,,,,6.010,5.560,1,5.910,6.323,6.300,,6.311,6.966,5.953,,6.459,5.910,,13.36
66,42,Univ of Maryland - College Park,6.503,6.603,,6.553,6.147,5.774,,5.960,,,,DNA,,,,DNA,5.960,,11.07
67,57,Univ of Pittsburgh - Pittsburgh,,,,,6.443,6.893,2,6.918,6.010,5.917,,5.963,,,,DNA,5.963,,10.94
67,121,Univ of Wisconsin - Madison,7.517,6.360,,6.938,6.360,5.567,,5.963,6.224,5.690,2,6.207,,,,,5.963,,10.94
69,27,California State Univ - Fullerton,6.197,5.776,,5.986,,,,DNA,,,,DNA,,,,DNA,5.986,,9.91
70,111,Oakland University,5.880,5.607,2,5.993,,,,,,,,DNA,,,,DNA,5.993,,9.6
71,30,Missouri State University,6.800,6.163,,6.481,6.167,,,,6.893,6.190,,6.541,6.427,5.786,,6.106,6.106,,4.71
72,92,Univ of Ottawa,6.384,6.197,2,6.540,6.230,5.986,,6.108,7.004,6.797,,6.900,6.490,6.147,,6.318,6.108,,4.63
73,108,Brown Univ,8.707,6.953,,7.830,6.397,5.880,,6.138,7.976,8.090,2,8.283,8.506,7.600,,8.053,6.138,,3.5
73,60,Univ of Hartford,7.297,6.923,,7.110,6.383,6.863,,6.623,6.410,6.083,,6.246,6.103,5.930,1,6.141,6.141,,3.5
73,76,Oregon Inst of Tech,7.293,6.407,,6.850,6.303,6.123,,6.213,,,,DNA,,,,DNA,6.213,,3.5
73,127,Univ of Virginia,6.903,6.390,3,7.021,6.587,5.917,,6.252,7.403,6.806,,7.104,6.493,6.244,,6.368,6.252,,3.5
73,26,California State Univ - Los Angeles,7.037,6.410,1,6.848,6.177,6.070,3,6.498,,,,DNA,,,,DNA,6.498,,3.5
73,31,York College of Pennsylvania,8.687,,,,6.430,6.694,,6.562,,,,DNA,,,,DNA,6.562,,3.5
73,122,Univ of Texas - Austin,6.457,,,,7.010,6.260,,6.635,,,,DNA,,,,DNA,6.635,,3.5
73,136,Texas Tech Univ,,,,,7.366,6.246,,6.806,,,,DNA,,,,DNA,6.806,,3.5
73,107,Florida Atlantic Univ,6.947,6.527,1,6.862,,,,,,,,DNA,,,,DNA,6.862,,3.5
73,93,Wichita State Univ,8.187,7.587,,7.887,7.477,6.294,1,7.010,,,,DNA,,,,DNA,7.010,,3.5
73,102,Univ of North Texas,6.883,,1,,7.574,7.153,,7.363,,,,DNA,,,,DNA,7.363,,3.5
73,91,Tennessee Tech Univ,9.786,8.026,2,9.156,,,,,,,,DNA,,,,DNA,9.156,,3.5
,12,Purdue Univ - Northwest,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,15,Lehigh Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,24,Colorado State University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,25,Kettering Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,38,Univ of Michigan - Dearborn,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,39,Univ of Central Florida,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,40,Univ of Calif - Irvine,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,41,Univ of British Columbia,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,46,Washington Univ - St Louis,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,47,Liberty Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,52,Univ of Manitoba,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,59,Bradley Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,62,Saint Louis University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,64,Univ of Saskatchewan,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,65,Lakehead Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,66,South Dakota State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,67,UP Aguascalientes,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,68,Univ of Alberta,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,69,Universite de Sherbrooke,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,70,Queen's Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,75,Florida International Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,79,Universidad Panamericana Sede Guadalajar,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,84,Univ of Arizona,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,90,Sacramento State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,98,Univ of Nebraska - Lincoln,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,100,Alabama A & M Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,104,Polytechnic Univ of Puerto Rico,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,109,Univ of Minnesota - Duluth,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,116,Washington State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,118,Univ of Georgia,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,120,Univ of Toledo,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,123,West Virginia Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,128,Universidad Autonoma Estado Mexico,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,129,Instituto Tecnologico de Chihuahua,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,132,Univ of Massachusetts - Lowell,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,147,Univ of Alabama - Tuscaloosa,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,151,Syracuse Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
