Place,CarNum,Team,Time,Laps,Cones,OffCourse,OtherPenalty,AdjTime,TimeScore,LapScore,EnduranceScore
33,76,Oregon Inst of Tech,1752.562,10,,5,,1852.562,36.2,25,61.2
34,122,Univ of Texas - Austin,1678.751,10,13,3,120,1884.751,26.1,25,51.1
35,96,Univ of British Columbia - Okanagan,1830.651,10,1,3,,1892.651,23.7,25,48.7
36,74,Univ of Southern California,1621.675,10,1,8,120,1903.675,20.4,25,45.4
37,90,Sacramento State Univ,1706.119,10,13,9,,1912.119,17.8,25,42.8
38,126,Univ of Puerto Rico-Mayaquez,1753.636,10,5,2,120,1923.636,14.4,25,39.4
39,45,Lawrence Technological Univ,1703.283,10,13,4,120,1929.283,12.7,25,37.7
40,66,South Dakota State Univ,1841.102,10,6,5,,1953.102,5.8,25,30.8
41,107,Florida Atlantic Univ,1781.938,10,5,4,120,1991.938,,25,25.0
42,26,California State Univ - Los Angeles,1854.483,10,9,6,,1992.483,,25,25.0
43,51,Minnesota State University - Mankato,1723.622,10,,14,,2003.622,,25,25.0
44,60,Univ of Hartford,1744.817,10,13,15,,2070.817,,25,25.0
45,24,Colorado State University,2046.732,10,5,6,,2176.732,,25,25.0
46,37,Michigan Tech Univ,1934.211,10,3,15,120,2360.211,,25,25.0
47,108,Brown Univ,2202.245,10,3,8,,2368.245,,25,25.0
,103,Univ of Calif - Berkeley,1292.646,9,5,3,30,,,18,18.0
,36,North Carolina State Univ - Raleigh,1589.964,8,4,,,,,16,16.0
,65,Lakehead Univ,1639.958,8,4,5,,,,16,16.0
,29,California State Univ - Chico,1213.449,7,3,6,148,,,14,14.0
,56,Clemson Univ,1240.719,7,2,,120,,,14,14.0
,140,Texas A&M Univ - College Station,813.542,6,3,,,,,12,12.0
,44,Univ of Waterloo,699.523,5,,1,,,,10,10.0
,86,Villanova Univ,705.069,5,1,1,,,,10,10.0
,43,Univ of Calgary,718.947,5,2,,,,,10,10.0
,162,CEFET-MG,734.339,5,4,5,120,,,10,10.0
,61,Kennesaw State University,736.320,5,5,,,,,10,10.0
,13,Univ of Kansas - Lawrence,764.652,5,1,,,,,10,10.0
,42,Univ of Maryland - College Park,787.005,5,1,1,,,,10,10.0
,58,Drexel Univ,796.956,5,8,2,,,,10,10.0
,111,Oakland University,798.575,5,1,,,,,10,10.0
,113,Univ of Oklahoma,841.456,5,1,4,120,,,10,10.0
,16,Grand Valley State Univ,845.215,5,3,,120,,,10,10.0
,106,Old Dominion Univ,855.546,5,,1,120,,,10,10.0
,136,Texas Tech Univ,958.646,5,3,2,,,,10,10.0
,101,Arizona State Univ - Tempe,990.525,5,6,1,120,,,10,10.0
,119,Univ of New Hampshire,1044.728,5,,1,,,,10,10.0
,89,Mississippi State Univ,621.430,4,,2,,,,8,8.0
,49,Univ of North Florida,656.678,4,5,1,,,,8,8.0
,142,Duke Univ,660.740,4,,6,120,,,8,8.0
,31,York College of Pennsylvania,834.563,4,1,1,,,,8,8.0
,81,California State Poly Univ - Pomona,409.000,3,3,1,,,,6,6.0
,57,Univ of Pittsburgh - Pittsburgh,440.090,3,1,1,120,,,6,6.0
,134,Univ of Minnesota - Twin Cities,455.668,3,,,,,,6,6.0
,23,Embry-Riddle Aero Univ - Daytona Beach,458.234,3,3,1,,,,6,6.0
,73,Carleton Univ,461.591,3,1,2,120,,,6,6.0
,141,Univ of Kentucky,474.544,3,,,,,,6,6.0
,137,Iowa State Univ,291.255,2,,,,,,4,4.0
,30,Missouri State University,397.170,2,,2,,,,4,4.0
,63,Universidad Metropolitana,165.546,1,,,,,,2,2.0
,64,Univ of Saskatchewan,0.000,0,,,,,,,0.0
,78,Univ of Texas - Dallas,0.000,0,,3,,,,,0.0
,121,Univ of Wisconsin - Madison,0.000,0,,,,,,,0.0
