Place,CarNum,Team,AdjustedCost,PriceScore,CostAccuracy,EngineeringDesign,ScenarioScore,Penalty,Score
76,44,Ohio State Univ,"$19,676",7.08,12.58,20,20,,59.66
77,123,MADI State Tech Univ,"$16,290",12.08,12.49,15,20,,59.57
78,56,Univ of Oklahoma,"$16,043",12.53,18.76,18,10,,59.29
79,41,Univ of Pittsburgh - Pittsburgh,"$14,796",15.02,13.81,19,11,,58.83
80,4,Ecole De Technologie Superieure,"$16,342",11.99,11.34,20,15,,58.33
81,105,Mississippi State Univ,"$18,104",9.17,17.94,16,15,,58.11
82,79,Old Dominion Univ,"$12,976",19.5,8.45,13,17,,57.95
83,36,Univ of Michigan - Ann Arbor,"$17,508",10.06,9.69,18,20,,57.75
84,15,Univ of Kansas - Lawrence,"$20,613",5.99,12.73,19,20,,57.72
85,112,FH - Joanneum Graz,"$19,144",7.75,9.93,20,20,,57.68
86,70,Univ of Hartford,"$11,790",23.17,16.35,8,10,,57.52
87,32,Univ of Minnesota - Twin Cities,"$15,587",13.39,11.99,12,20,,57.38
87,37,Univ of New Hampshire,"$16,544",11.64,9.69,16,20,,57.38
89,20,Univ of South Florida,"$13,780",17.38,3.5,19,17,,56.88
90,53,Queen's Univ - Ontario Canada,"$14,910",14.77,12.99,17,12,,56.76
91,14,Karlsruhe Institute of Technology,"$19,863",6.86,9.84,20,20,,56.69
92,23,Oregon State Univ,"$19,979",6.72,13.81,16,20,,56.53
93,66,Fachhochschule Hamburg,"$24,357",2.46,13.81,20,20,,56.27
94,26,US Naval Academy,"$16,454",11.79,14.23,15,15,,56.02
95,88,California Polytechnic State Univ-SLO,"$17,927",9.43,12.58,18,15,,55.01
96,27,US Air Force Academy,"$21,583",4.96,15.88,20,12,,52.83
97,91,Bits Pilani-Dubai,"$13,732",17.49,13.64,18,2,,51.13
98,110,Temple Univ,"$16,994",10.88,10.01,13,17,,50.89
99,125,Northwestern Univ,"$18,495",8.62,12.16,19,10,,49.78
100,21,Technical Univ of Munich,"$24,218",2.57,9.01,18,20,,49.59
101,117,Tennessee Tech Univ,"$10,341",28.79,10.66,13,15,-20,47.46
102,54,Florida Inst of Tech,"$27,890",,15.2,14,16,,45.2
103,60,Univ of Western Ontario,"$16,456",11.79,13.81,17,20,-20,42.6
104,58,Lawrence Technological Univ,"$14,682",15.27,12.81,19,12,-20,39.08
105,120,Bradley Univ,"$9,232",34.29,12.73,11,15,-40,33.02
106,40,Kumoh National Institute of Technology,"$9,817",31.24,18.35,10,10,-80,-10.41
107,92,California State Univ - Long Beach,"$10,791",26.89,11.34,19,11,-80,-11.78
108,63,Clarkson University,,,,,,-100,-100
108,115,Ryerson Univ,,,,,,-100,-100
,18,UAS Esslingen,,,,,,,
,19,Univ of Cincinnati,,,,,,,
,29,Universidad Fermin Toro,,,,,,,
,51,Univ of Central Florida,,,,,,,
,69,Universidad Iberoamericana,,,,,,,
,72,Univ of Utah,,,,,,,
,95,Univ of Kentucky,,,,,,,
,104,South Dakota Sch of Mines & Tech,,,,,,,
,107,American Univ of Sharjah,,,,,,,
,109,Northern Illinois Univ,,,,,,,
,119,Washington State Univ,,,,,,,
