Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Score
68,96,Lehigh Univ,74.403,,1,94.403,69.493,,,69.493,77.340,5,1,107.340,78.833,,1,98.833,69.493,20.48
69,37,Univ of New Hampshire,71.455,1,1,93.455,70.770,,,70.770,,,,DNA,,,,DNA,70.770,14.53
70,41,Univ of Pittsburgh - Pittsburgh,64.616,2,1,88.616,67.884,2,,71.884,65.682,1,2,107.682,,,,DNA,71.884,9.51
71,124,Univ of Guelph,75.695,,1,95.695,73.065,,,73.065,93.814,,2,133.814,72.681,,,72.681,72.681,7.5
71,52,Univ of North Florida,78.219,2,1,102.219,72.371,1,,74.371,82.755,1,1,104.755,71.119,1,,73.119,73.119,7.5
71,100,Vanderbilt Univ,78.281,,,78.281,75.427,,,75.427,65.798,,1,85.798,74.192,,,74.192,74.192,7.5
71,120,Bradley Univ,70.451,1,2,112.451,91.726,1,3,153.726,76.586,2,1,100.586,75.599,,,75.599,75.599,7.5
71,76,Ferris State University,79.452,,2,119.452,74.149,1,,76.149,,,,DNA,,,,DNA,76.149,7.5
71,56,Univ of Oklahoma,85.217,,,85.217,76.717,,,76.717,,,,DNA,,,,DNA,76.717,7.5
71,39,Univ of Toronto,80.281,,,80.281,77.567,,,77.567,103.608,2,3,167.608,76.892,1,2,118.892,77.567,7.5
71,59,Dalhousie Univ,81.958,1,,83.958,89.893,1,,91.893,87.527,,,87.527,76.022,1,,78.022,78.022,7.5
71,49,Minnesota State University - Mankato,84.179,,3,144.179,75.873,2,,79.873,76.193,,1,96.193,73.023,,2,113.023,79.873,7.5
71,116,Lafayette College,72.411,,1,92.411,71.074,1,4,153.074,63.126,3,1,89.126,62.237,,1,82.237,82.237,7.5
