,Place,CarNum,Team,ACdjous ts ted,Pric(3e0)Score,Cost(1 5 )A c curacy,DrEanwiginnges(e ri1n5)g,Sc o rS c ee( a4n ri0)o,Penalty,Score
8,60,117,Pellissippi State Community College,"$14,897",22.4,8,1,33,,64.35
9,61,44,Univ of Texas - Dallas,"$18,791",17,8,5,34,,64.02
10,62,14,Univ of Cincinnati,"$17,334",19,10,10,25,,64.01
11,63,94,Univ of Colorado - Boulder,"$18,891",16.9,10,1,36,,63.88
12,64,36,Colorado State University,"$26,153",6.9,13,10,33,,62.93
13,65,25,California State Poly Univ - Pomona,"$28,321",4,12,13,33,,61.96
14,66,105,Univ of Southern California,"$22,365",12.1,14,8,27,,61.12
15,67,106,Embry-Riddle Aero Univ - Daytona Beach,"$26,291",6.7,12,5,36,,59.74
16,68,52,California State Univ - Chico,"$14,367",23.1,10,4.5,21.5,,59.08
17,69,133,Universidad Autonoma Estado Mexico,"$16,145",20.6,9,,29,,58.64
18,70,102,Missouri University of Science and Tech,"$14,530",22.9,12,15,8,,57.85
19,71,79,Univ of Texas - San Antonio,"$15,209",21.9,9.5,,26,,57.42
20,72,65,Hope College,"$16,383",20.3,11,7,19,,57.32
21,73,87,Univ of Georgia,"$13,327",24.5,7,1,24,,56.5
22,74,120,Oregon Inst of Tech,"$17,136",19.3,11,2,24,,56.28
23,75,69,Bradley Univ,"$12,814",25.2,12,3,25.5,-10,55.7
24,76,136,Univ of Minnesota-Duluth,"$12,712",25.3,10,2,18,,55.34
25,77,43,Universidad Panamericana Sede Guadalajar,"$14,641",22.7,13,15,4,,54.7
26,78,100,Kettering Univ,"$14,301",23.2,12,8,10,,53.17
1,79,42,Univ of Oklahoma,"$25,153",8.3,11,10,23,,52.3
2,80,131,Univ of Ottawa,"$14,225",23.3,11,7,10.5,,51.77
3,81,21,Oklahoma State Univ,"$16,528",20.1,9,5,17,,51.12
4,82,26,Univ of Wisconsin - Platteville,"$16,173",20.6,12,7,10.5,,50.1
5,83,73,Univ of Puerto Rico-Mayaquez,"$17,699",18.5,13.5,15,3,,50.01
6,84,34,Colorado Mesa University,"$18,083",18,9,,23,,49.99
7,85,68,AGH Univ of Science and Technology,"$25,269",8.1,10,4,27,,49.14
8,86,108,Lawrence Technological Univ,"$28,233",4.1,10,8,26,,48.08
9,87,116,Saginaw Valley State Univ,"$17,437",18.9,4,1,24,,47.87
10,88,29,Univ of Texas - Austin,"$21,840",12.8,12,14,28.5,-20,47.34
11,89,62,Washington State Univ,"$18,427",17.5,6,,23,,46.52
12,90,113,US Air Force Academy,"$17,261",19.1,8,,18,,45.11
13,91,95,Univ of Toledo,"$18,361",17.6,11,,16,,44.61
14,92,92,Clarkson University,"$30,133",1.5,12,6,24,,43.48
15,93,46,York College of Pennsylvania,"$24,193",9.6,14,7,12,,42.62
16,94,103,Penn State Univ - Harrisburg,"$24,772",8.8,8,3,22,,41.82
17,95,122,South Dakota School of Mines & Tech,"$19,472",16.1,10,10,14.5,-10,40.58
