Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22,Lap23,Lap24
Universidad Simon Bolivar,81,67.267,68.375,74.009,79.237,83.150,78.872,76.844,83.726,83.608,91.123,91.218,,78.886,82.317,85.499,84.799,81.045,83.472,82.122,83.620,87.555,84.219,83.512,
Oakland University,83,93.978,85.690,80.496,78.701,80.311,83.939,,,,,,,,,,,,,,,,,,
Villanova Univ,85,83.756,86.851,77.266,77.314,76.063,84.635,79.698,80.576,90.068,79.249,81.680,,76.814,75.628,76.897,74.428,72.865,73.027,77.662,73.342,71.698,75.449,70.227,
Cooper Union,86,74.148,90.397,74.299,78.150,73.239,82.407,79.320,,70.870,78.419,75.380,79.160,,70.836,68.680,69.141,70.546,70.332,78.608,69.741,86.785,73.487,73.784,73.066
Dalhousie Univ,88,107.220,97.782,97.027,95.401,89.861,96.486,96.147,108.371,,,,,,,,,,,,,,,,
Univ of North Carolina - Charlotte,90,74.084,72.932,82.656,75.835,73.656,70.848,70.709,69.972,70.812,70.575,71.879,,,,,,,,,,,,,
Univ of St Thomas,93,110.261,147.980,,,,,,,,,,,,,,,,,,,,,,
Oklahoma State Univ,94,90.032,88.488,84.304,89.874,88.565,88.250,85.113,83.938,85.476,87.531,93.439,,96.143,116.081,94.516,82.557,83.478,96.498,86.977,112.850,140.907,156.579,,
Wayne State Univ,95,99.979,,,,,,,,,,,,,,,,,,,,,,,
Penn State Univ - University Park,96,86.286,81.009,79.482,79.184,78.900,79.061,75.231,73.217,75.398,73.700,76.102,,78.630,77.524,73.913,75.385,74.979,73.646,73.000,77.436,73.804,77.128,74.216,
Univ of Guelph,97,75.338,71.805,92.499,86.473,75.708,74.506,73.482,94.720,,,,,,,,,,,,,,,,
York College of Pa,99,99.093,101.117,94.464,92.523,90.953,92.583,94.523,100.302,,90.526,98.642,,,,,,,,,,,,,
Wroclaw University of Technology,101,70.176,69.056,68.815,66.918,68.322,66.887,66.878,67.581,64.864,65.466,65.491,,72.577,69.236,65.858,65.729,64.992,64.933,62.636,63.525,64.712,64.417,64.564,
Florida Inst of Tech,102,70.664,73.046,73.756,,,,,,,,,,,,,,,,,,,,,
South Dakota State Univ,106,82.563,91.435,82.394,79.107,79.872,77.986,82.731,84.014,,,,,,,,,,,,,,,,
Univ of Utah,107,114.241,101.124,97.063,96.554,90.076,90.085,86.549,,,,,,,,,,,,,,,,,
Virginia Tech,110,66.141,64.284,64.692,64.227,65.823,64.867,64.754,65.764,65.979,66.744,68.479,,65.529,63.407,63.494,63.499,64.057,68.248,64.814,64.638,65.200,65.186,63.283,
Universidad Autonoma Estado Mexico,111,85.830,85.224,88.616,114.999,91.439,99.650,,,,,,,,,,,,,,,,,,
Michigan Tech Univ,114,73.555,72.905,74.275,72.286,71.426,71.061,72.714,101.752,70.934,71.987,74.491,,73.203,72.482,68.061,68.438,68.180,69.482,69.188,68.927,75.802,72.067,74.506,
Rochester Institute of Technology,115,67.485,64.020,63.513,64.927,66.253,68.638,68.875,71.730,69.426,72.923,70.847,,73.018,70.460,69.894,68.224,69.840,69.060,69.409,69.439,69.356,69.351,69.973,
Western University,117,70.876,67.051,64.777,72.426,69.445,65.234,67.380,64.208,63.334,63.713,64.495,,66.671,62.064,63.092,61.618,61.763,62.757,64.660,60.868,60.914,60.597,60.356,
Univ of Victoria,119,71.200,70.088,70.703,69.058,67.347,68.336,68.578,70.210,69.070,72.456,74.998,,76.099,71.010,71.644,68.716,68.624,71.096,71.935,71.459,73.719,80.538,71.884,
Univ of Maryland - College Park,120,70.910,71.790,68.470,85.320,69.050,68.130,67.790,67.890,67.490,65.660,67.070,,72.421,71.943,71.215,69.083,69.007,77.282,67.842,,,,,
Indiana Univ Purdue Univ Indianapolis,122,72.740,71.377,72.965,73.110,77.208,75.839,77.445,78.830,79.395,80.472,83.454,,73.379,71.566,132.238,71.715,79.321,73.104,70.227,70.623,70.149,69.910,70.590,
Florida Atlantic Univ,123,69.664,66.824,66.225,67.226,67.324,67.874,69.692,68.996,68.525,69.895,71.057,,79.281,74.322,74.665,70.657,78.251,73.539,72.375,74.148,74.054,87.211,74.719,
Purdue Univ - W Lafayette,125,71.702,71.767,68.284,68.287,68.672,67.436,67.256,66.465,71.105,69.652,68.684,,,,,,,,,,,,,
Cornell Univ,126,78.651,79.154,78.487,75.845,79.469,77.178,76.631,82.054,74.189,78.135,77.297,,,,,,,,,,,,,
Univ of Texas - Arlington,129,65.408,67.853,67.649,66.077,66.345,65.705,65.480,64.693,65.682,65.175,64.639,,66.125,67.271,65.197,63.598,65.068,64.996,64.931,66.525,65.842,66.563,65.823,
Mississippi State Univ,134,99.766,89.834,91.738,87.729,86.196,86.062,80.794,84.117,83.576,82.828,82.368,,83.318,83.525,86.622,84.651,80.984,81.788,81.988,92.982,83.974,85.517,97.467,
