Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Score
21,38,National Univ of Singapore,69.796,1,,71.796,59.607,,,59.607,55.250,,,55.250,53.476,,,53.476,53.476,93.91
22,117,Western University,53.947,3,,59.947,53.524,,,53.524,54.440,,,54.440,54.464,,,54.464,53.524,93.55
23,37,Univ of Connecticut,54.948,,,54.948,53.619,,,53.619,63.294,,,63.294,58.034,,,58.034,53.619,92.84
24,12,Michigan State Univ,61.828,,,61.828,55.222,,,55.222,66.415,,2,106.415,53.929,,,53.929,53.929,90.53
25,101,Wroclaw University of Technology,53.932,,,53.932,52.632,1,,54.632,54.184,1,,56.184,61.886,,,61.886,53.932,90.51
26,7,Auburn Univ,54.194,,,54.194,53.971,,,53.971,57.094,,,57.094,54.366,,,54.366,53.971,90.22
27,51,Univ of Cincinnati,57.388,,,57.388,,,,,54.401,,,54.401,54.161,,,54.161,54.161,88.82
28,125,Purdue Univ - W Lafayette,57.644,,,57.644,54.384,,,54.384,57.082,,,57.082,55.008,,,55.008,54.384,87.18
29,119,Univ of Victoria,56.238,1,,58.238,54.421,,,54.421,54.697,1,1,76.697,,,,DNA,54.421,86.92
30,59,Univ of Minnesota - Twin Cities,55.157,,,55.157,55.157,,,55.157,55.580,,,55.580,54.770,,,54.770,54.770,84.39
31,71,Univ of Pittsburgh - Pittsburgh,,,,,55.212,,,55.212,67.223,,,67.223,54.800,,,54.800,54.800,84.18
32,122,Indiana Univ Purdue Univ Indianapolis,57.546,,,57.546,55.128,,,55.128,,,,,,,,DNA,55.128,81.84
33,27,Louisiana State Univ,61.055,1,,63.055,55.794,,,55.794,57.521,,,57.521,55.395,,,55.395,55.395,79.95
34,62,Ohio State Univ,59.235,,,59.235,59.556,3,,65.556,56.635,,,56.635,55.419,,,55.419,55.419,79.78
35,43,Columbia Univ,60.370,,,60.370,55.464,,,55.464,85.046,1,1,107.046,,,,,55.464,79.47
36,48,Washington Univ - St Louis,65.422,,,65.422,61.491,,,61.491,55.735,,,55.735,55.472,,,55.472,55.472,79.41
37,85,Villanova Univ,66.993,,,66.993,58.408,,,58.408,57.840,,,57.840,55.497,,,55.497,55.497,79.24
38,26,Georgia Southern Univ,55.621,,,55.621,54.716,,1,74.716,65.898,,,65.898,57.807,,,57.807,55.621,78.37
39,81,Universidad Simon Bolivar,62.696,,,62.696,,,,,62.931,,,62.931,55.813,,,55.813,55.813,77.04
40,86,Cooper Union,61.032,1,,63.032,61.236,,,61.236,55.852,,,55.852,56.827,,,56.827,55.852,76.77
41,102,Florida Inst of Tech,58.530,,,58.530,58.120,,,58.120,56.084,,,56.084,59.133,,,59.133,56.084,75.17
42,11,Universidade Estadual de Campinas,64.983,,,64.983,63.106,,,63.106,59.802,,,59.802,56.294,,,56.294,56.294,73.74
43,114,Michigan Tech Univ,58.574,,,58.574,56.359,,,56.359,60.232,,,60.232,57.377,,,57.377,56.359,73.3
44,40,Univ of Central Florida,66.289,,,66.289,61.483,,,61.483,58.595,,,58.595,56.695,,,56.695,56.695,71.03
45,106,South Dakota State Univ,56.710,,,56.710,57.352,,,57.352,63.544,,,63.544,59.603,,,59.603,56.710,70.93
46,90,Univ of North Carolina - Charlotte,57.371,,,57.371,57.081,,,57.081,58.606,,,58.606,56.871,,,56.871,56.871,69.85
47,30,Univ of Missouri,57.827,1,,59.827,57.167,,,57.167,63.013,,,63.013,71.907,,1,91.907,57.167,67.89
48,13,Univ of Wisconsin - Madison,57.368,,,57.368,,,,,,,,DNA,,,,DNA,57.368,66.57
49,21,Univ of Illinois - Urbana Champaign,56.981,1,,58.981,57.757,,,57.757,,,,,,,,DNA,57.757,64.04
50,97,Univ of Guelph,,,,,,,,,95.516,,,95.516,57.923,,,57.923,57.923,62.97
51,25,Georgia Institute of Technology,58.338,1,,60.338,58.109,,,58.109,58.698,,,58.698,61.685,,,61.685,58.109,61.78
52,63,Duke Univ,61.097,,,61.097,58.115,,,58.115,77.755,1,,79.755,67.526,1,,69.526,58.115,61.74
53,70,Kennesaw State University,56.773,3,1,82.773,59.094,,2,99.094,58.239,,,58.239,56.961,2,,60.961,58.239,60.95
54,96,Penn State Univ - University Park,58.213,,1,78.213,58.257,,,58.257,63.704,,,63.704,61.199,1,,63.199,58.257,60.83
55,22,US Naval Academy,71.074,,,71.074,68.327,,,68.327,61.931,,,61.931,59.057,,,59.057,59.057,55.82
56,36,Univ of North Florida,58.204,,2,98.204,59.061,,,59.061,,,,DNA,,,,DNA,59.061,55.8
57,126,Cornell Univ,60.591,,,60.591,60.797,,,60.797,59.451,,,59.451,70.011,,1,90.011,59.451,53.4
58,66,North Carolina State Univ - Raleigh,63.569,,,63.569,59.491,,,59.491,,,,DNA,,,,DNA,59.491,53.16
59,88,Dalhousie Univ,59.321,,1,79.321,59.495,,,59.495,72.194,,,72.194,66.094,,,66.094,59.495,53.14
60,65,Minnesota State University - Mankato,62.954,,,62.954,60.486,,,60.486,78.413,,,78.413,58.520,1,,60.520,60.486,47.2
61,32,Rose Hulman Inst of Tech,65.495,1,,67.495,58.511,1,,60.511,59.355,,1,79.355,56.992,,1,76.992,60.511,47.05
62,57,Texas Tech Univ,60.612,,,60.612,61.538,,,61.538,,,,DNA,,,,DNA,60.612,46.46
63,20,Worcester Polytechnic Inst,64.636,1,,66.636,60.617,,,60.617,69.780,,1,89.780,72.035,,2,112.035,60.617,46.43
64,68,Lakehead Univ,66.636,,,66.636,66.012,1,,68.012,,,,,60.780,,,60.780,60.780,45.48
65,55,Universidad Central de Venezuela,65.007,,1,85.007,60.964,,,60.964,64.687,2,,68.687,62.987,,,62.987,60.964,44.41
66,95,Wayne State Univ,69.070,,,69.070,62.227,,,62.227,65.391,1,,67.391,61.030,,,61.030,61.030,44.02
67,49,Univ of Toronto,64.453,,,64.453,68.151,,,68.151,61.764,,,61.764,62.112,,,62.112,61.764,39.83
68,33,West Virginia Univ,65.352,,1,85.352,61.909,,,61.909,73.302,1,,75.302,64.420,2,,68.420,61.909,39.01
69,77,Cegep du Vieux - Montreal,67.704,2,,71.704,58.575,2,,62.575,82.230,,1,102.230,64.331,,,64.331,62.575,35.3
70,134,Mississippi State Univ,67.181,,,67.181,63.209,,,63.209,63.900,,,63.900,79.517,,1,99.517,63.209,31.85
71,94,Oklahoma State Univ,78.837,3,,84.837,70.212,,,70.212,74.819,,,74.819,63.504,,,63.504,63.504,30.26
72,44,Western Michigan Univ,73.033,,,73.033,66.985,,,66.985,64.277,,,64.277,64.934,1,2,106.934,64.277,26.18
73,45,Tennessee Tech Univ,70.016,,,70.016,66.196,,,66.196,66.098,1,1,88.098,64.594,,,64.594,64.594,24.54
74,56,Central Michigan Univ,68.354,,,68.354,64.207,1,,66.207,56.854,,3,116.854,69.773,,3,129.773,66.207,16.41
75,107,Univ of Utah,118.179,,,118.179,77.800,,,77.800,72.847,,,72.847,64.878,1,,66.878,66.878,13.14
76,54,Univ of Evansville,68.595,,1,88.595,67.125,,,67.125,,,,DNA,,,,DNA,67.125,11.95
77,31,Bradley Univ,76.152,,,76.152,67.401,,,67.401,76.296,4,1,104.296,,,,DNA,67.401,10.64
78,103,Northwestern Univ,79.648,,,79.648,,,,,,,,,70.061,,,70.061,70.061,7.5
78,78,Universite Du Quebec-Chicoutimi,73.057,,,73.057,74.096,,,74.096,,,,DNA,,,,DNA,73.057,7.5
78,111,Universidad Autonoma Estado Mexico,75.315,,,75.315,78.534,,,78.534,168.039,,2,208.039,,,,DNA,75.315,7.5
78,47,Univ of South Florida,,,,,58.935,,1,78.935,,,,DNA,,,,DNA,78.935,7.5
78,35,Southern Illinois Univ - Edwardville,77.119,1,,79.119,91.730,,,91.730,,,,,,,,DNA,79.119,7.5
78,99,York College of Pa,68.821,,1,88.821,69.054,,1,89.054,73.419,2,1,97.419,70.968,2,1,94.968,88.821,7.5
78,84,Grand Valley State Univ,65.817,3,2,111.817,62.384,1,2,104.384,,,,DNA,,,,DNA,104.384,7.5
78,42,Florida International Univ,107.278,,,107.278,,,,DNA,,,,DNA,,,,DNA,107.278,7.5
78,93,Univ of St Thomas,100.399,,1,120.399,,,,DNA,,,,DNA,,,,DNA,120.399,7.5
78,74,North Dakota State Univ,85.854,,2,125.854,69.448,,3,129.448,66.192,,3,126.192,,,,DNA,125.854,7.5
,23,Ferris State University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,24,Brown Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,29,Lehigh Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,34,Lafayette College,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,39,Univ of Kentucky,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,41,Old Dominion Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,46,McGill Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,52,Colorado Mesa University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,58,Polytechnique Montréal,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,60,Univ of Illinois - Chicago,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,61,Rutgers Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,64,Univ of Alabama - Tuscaloosa,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,67,Queen's Univ - Ontario Canada,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,69,Univ of Waterloo,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,79,St Cloud State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,80,Kansas State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,82,Clemson Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,83,Oakland University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,87,Stevens Inst of Tech,,,,,,,,DNA,,,,DNA,,,,DNA,DNA,
,91,Univ of New Hampshire,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,92,Clarkson University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,98,Embry-Riddle Aero Univ - Daytona Beach,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,100,Northern Illinois Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,104,Washington State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,105,Univ of Hartford,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,109,Univ of Oklahoma,,,,,,,,DNA,,,,DNA,,,,DNA,DNA,
,112,Hope College,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,113,Temple Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,116,Universidad Metropolitana,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,121,Lawrence Technological Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,127,Univ of Manitoba,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
