Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22
Hope College,68,83.739,84.434,81.222,80.625,79.124,77.229,76.795,75.582,76.325,83.385,,105.850,97.313,99.847,102.321,89.792,92.436,97.738,107.280,100.528,100.626,
Kennesaw State University,69,100.842,109.373,104.206,108.050,101.399,100.751,104.409,98.186,95.050,99.612,,94.151,91.986,91.820,90.912,104.757,91.985,89.319,91.275,90.160,92.241,
Florida International Univ,73,134.019,110.632,108.783,116.170,115.371,117.017,114.254,115.619,112.506,117.183,,108.376,104.099,100.197,108.347,112.328,108.291,109.604,116.114,111.171,111.831,
Univ of Cincinnati,74,83.843,83.821,82.931,80.261,82.090,80.032,78.836,80.312,81.362,84.117,,80.885,80.118,87.103,79.208,94.433,79.703,81.905,80.682,79.386,79.713,
Old Dominion Univ,75,106.285,100.271,97.155,94.290,91.207,91.805,91.348,90.548,91.627,92.788,,89.761,89.966,89.266,90.635,91.376,98.007,,101.029,96.390,99.495,98.925
Univ of Alabama - Tuscaloosa,76,91.508,90.735,87.538,96.056,86.467,85.438,82.236,86.252,81.998,83.264,,104.695,90.034,85.014,88.181,83.563,87.413,80.681,103.981,89.648,92.139,
North Carolina State Univ - Raleigh,78,93.779,92.174,88.044,87.275,87.934,109.405,90.000,85.572,95.060,83.972,,87.285,83.063,83.798,105.931,86.735,79.855,85.049,82.836,78.930,83.348,
Villanova Univ,79,118.807,102.634,112.066,104.369,285.150,117.274,100.627,102.357,100.493,96.824,,,,,,,,,,,,
Univ of Texas - Arlington,80,82.818,76.091,71.383,75.844,78.082,75.907,78.387,78.287,77.571,77.140,,80.223,78.212,76.303,81.999,90.436,74.366,85.031,87.695,94.565,106.514,
Auburn Univ,81,87.776,87.395,85.624,84.061,84.246,88.174,,85.477,84.828,82.201,85.313,,82.096,76.978,76.151,76.212,81.403,78.210,74.310,75.894,74.911,74.466
Cooper Union,82,93.352,94.752,,,,,,,,,,,,,,,,,,,,
Univ of South Florida,83,84.800,144.931,94.705,79.663,80.176,98.832,86.315,74.821,78.702,79.825,,100.569,96.491,93.819,92.698,103.593,92.082,95.994,93.805,94.394,96.243,
Concordia University,85,80.678,79.213,76.018,77.881,78.048,84.368,78.864,80.016,79.832,80.953,,100.977,90.620,89.100,86.542,91.412,92.728,88.908,93.291,92.276,95.534,
Univ of Missouri,87,82.265,78.762,79.203,91.578,76.066,82.333,85.478,95.139,94.246,99.441,,98.965,98.611,96.730,97.297,93.682,92.749,89.810,100.874,90.864,94.793,
Université Laval,88,78.669,74.385,73.590,72.150,70.381,69.604,70.250,84.522,,71.701,70.572,,,,,,,,,,,
Georgia Institute of Technology,91,80.324,82.940,78.152,78.527,81.565,85.317,83.797,83.036,84.033,83.027,,78.472,80.023,,,,,,,,,
Wayne State Univ,92,91.406,88.526,88.674,85.401,83.415,81.018,85.432,81.719,82.112,83.982,,89.550,89.559,82.040,81.066,80.273,78.639,80.286,83.385,78.920,,
Fachhochschule Hamburg,93,99.434,94.515,93.752,89.905,97.670,91.063,88.928,86.376,87.553,86.381,,90.825,91.976,92.679,95.203,87.262,87.857,84.581,89.210,88.540,90.042,
Florida Inst of Tech,94,110.343,95.632,123.421,106.818,99.014,100.913,102.313,113.367,103.776,102.305,,147.005,145.359,100.048,,101.331,97.704,107.686,115.156,107.317,,
Columbia Univ,95,94.465,86.160,85.387,86.240,93.665,91.261,90.202,86.464,88.837,87.126,,92.991,88.611,85.645,96.844,88.576,83.954,83.703,98.425,85.218,85.811,
Michigan Tech Univ,96,95.339,97.832,99.875,98.936,99.080,99.559,101.225,104.266,104.326,100.916,,109.744,102.245,93.304,94.042,96.878,92.844,99.744,94.038,99.475,95.002,
Minnesota State University - Mankato,97,90.841,90.881,87.342,84.113,81.848,86.551,80.810,100.991,84.272,83.695,,81.665,80.354,77.711,79.577,76.606,77.241,74.942,79.508,76.689,76.884,
Duke Univ,99,87.925,82.456,83.484,79.414,74.004,71.937,76.011,75.292,74.067,76.146,,91.805,88.283,85.567,83.568,92.936,82.652,96.204,86.930,84.510,86.039,
Saginaw Valley State Univ,100,100.484,96.088,95.874,91.550,,83.799,84.858,87.935,88.075,84.951,85.163,,81.748,80.248,78.789,78.998,101.239,77.536,76.720,78.979,77.553,75.721
Universidad Simon Bolivar,101,93.979,88.276,86.176,,,,,,,,,,,,,,,,,,,
Univ of Illinois - Urbana Champaign,104,94.113,79.830,76.645,75.194,74.955,75.574,74.478,73.070,74.234,76.360,,89.040,84.678,86.482,90.290,86.060,83.130,86.347,84.301,82.953,82.967,
Univ of Connecticut,105,85.156,78.634,77.230,77.988,77.353,79.083,88.293,77.907,77.017,76.577,,97.106,97.176,87.853,88.142,85.487,84.944,86.826,84.236,81.982,86.780,
Univ of Minnesota-Duluth,107,84.056,93.096,81.535,80.992,82.836,85.065,86.845,84.520,86.749,88.659,88.798,88.714,94.136,,88.457,85.821,85.644,84.336,84.566,84.596,83.391,
Univ of Hartford,108,123.292,98.222,110.638,97.501,96.708,96.340,94.414,115.096,109.369,99.712,,103.528,97.358,114.365,114.356,103.233,102.405,98.024,100.742,,,
Universidad Autonoma Estado Mexico,112,120.911,101.003,137.790,123.272,124.271,103.672,110.699,114.057,119.247,110.086,,,,,,,,,,,,
Univ of Guelph,113,128.302,,,,,,,,,,,,,,,,,,,,,
Universite Du Quebec-Chicoutimi,114,93.676,84.259,82.525,84.247,83.182,81.945,81.773,85.141,79.990,78.676,,,,,,,,,,,,
Cornell Univ,115,86.185,84.208,82.790,,88.313,84.176,84.744,82.765,81.107,82.748,82.168,,83.022,80.904,82.877,112.640,80.539,80.394,84.613,81.687,81.705,82.616
Univ of Toledo,116,83.211,,84.336,84.300,81.413,90.915,82.808,82.726,81.300,82.450,80.771,,108.871,83.107,81.843,81.517,80.519,80.637,79.429,79.279,79.728,80.270
Univ of Waterloo,118,85.768,87.039,80.731,86.029,,,,,,,,,,,,,,,,,,
Univ of Toronto,120,80.788,77.035,75.449,74.880,75.517,73.643,71.082,72.501,76.046,77.565,,,,,,,,,,,,
Univ of Kentucky,121,107.224,100.097,109.824,105.429,101.871,98.301,101.189,97.647,105.312,107.173,,98.276,85.749,86.095,85.663,124.307,86.248,84.213,90.184,98.523,106.525,
Univ of British Columbia,122,97.733,94.382,94.624,94.696,112.784,93.989,91.209,94.261,93.585,93.727,,95.220,92.565,91.847,86.095,89.222,85.365,88.313,86.507,88.314,87.356,
Kansas State Univ,123,90.717,83.797,81.842,82.236,82.885,84.041,81.626,80.267,87.582,81.077,,99.978,118.659,97.912,91.749,89.173,89.991,85.681,,,,
South Dakota State Univ,124,92.670,88.666,87.713,83.459,85.900,83.093,83.919,83.148,89.529,83.902,,,,,,,,,,,,
San Jose State University,128,89.504,83.849,82.813,84.424,79.779,82.521,80.000,80.323,80.110,79.982,,88.785,84.039,83.268,83.139,81.789,81.501,84.021,85.261,83.140,84.703,
Carleton Univ,129,74.692,72.873,71.310,71.080,71.153,72.069,70.603,71.030,69.976,71.682,,74.451,72.708,71.588,71.097,71.166,80.430,76.954,73.627,76.996,77.960,
Northwestern Univ,132,99.726,92.992,93.616,93.991,87.847,90.810,95.864,87.516,93.530,82.992,,91.559,95.295,114.520,96.709,100.348,93.942,94.556,97.713,99.588,99.117,
Univ of Akron,138,94.082,111.148,107.743,85.847,81.546,79.504,142.658,159.084,77.926,81.039,,,,,,,,,,,,
