Place,CarNum,Team,AdjustedCost,PriceScore,CostAccuracy,EngineeringDesign,ScenarioScore,Penalty,Score
30,129,Carleton Univ,"$12,649",13.51,16.7,20,17,,67.22
31,118,Univ of Waterloo,"$15,386",9.88,17.03,20,20,,66.91
32,83,Univ of South Florida,"$14,865",10.47,16.29,20,20,,66.76
33,13,Faculdade de Engenharia de Sorocaba,"$11,988",14.64,17.11,15,20,,66.75
34,5,Univ of Michigan - Ann Arbor,"$14,634",10.75,15.88,20,20,,66.62
35,46,Rensselaer Polytechnic Inst,"$14,609",10.77,18.76,18,19,,66.54
36,76,Univ of Alabama - Tuscaloosa,"$13,848",11.75,16.7,19,19,,66.45
37,108,Univ of Hartford,"$11,024",16.53,15.88,14,20,,66.4
38,21,Univ of Victoria,"$13,904",11.67,17.53,20,17,,66.2
39,100,Saginaw Valley State Univ,"$10,666",17.31,16.53,15,17,,65.84
40,26,Univ of Central Florida,"$11,756",15.07,12.58,18,20,,65.64
41,16,Missouri University of Science and Tech,"$14,615",10.77,17.53,19,18,,65.29
42,52,Univ of Minnesota - Twin Cities,"$13,598",12.09,14.96,20,18,,65.05
43,2,Univ of Florida,"$17,273",8.05,20,17,20,,65.05
44,40,Rose Hulman Inst of Tech,"$13,221",12.63,13.4,19,20,,65.03
45,81,Auburn Univ,"$18,233",7.26,18.76,19,20,,65.02
46,122,Univ of British Columbia,"$15,210",10.08,15.88,19,20,,64.95
47,128,San Jose State University,"$15,484",9.78,15.05,20,20,,64.83
48,104,Univ of Illinois - Urbana Champaign,"$16,326",8.92,15.88,20,20,,64.79
49,94,Florida Inst of Tech,"$14,838",10.5,15.29,20,19,,64.79
50,116,Univ of Toledo,"$13,911",11.66,15.05,19,19,,64.71
51,68,Hope College,"$10,250",18.29,11.34,17,18,,64.63
52,53,Brown Univ,"$13,580",12.12,15.46,19,18,,64.58
53,95,Columbia Univ,"$13,699",11.95,17.53,17,18,,64.48
54,15,Univ of Wisconsin - Madison,"$15,105",10.19,19.18,20,15,,64.37
55,37,Penn State Univ - University Park,"$12,987",12.98,19.09,15,17,,64.07
56,7,National Univ of Singapore,"$15,847",9.39,17.53,20,17,,63.92
57,82,Cooper Union,"$14,542",10.86,18.76,20,14,,63.62
58,22,Univ of New Hampshire,"$12,084",14.47,17.11,17,15,,63.58
59,132,Northwestern Univ,"$17,561",7.8,16.7,20,19,,63.5
60,138,Univ of Akron,"$15,194",10.09,16.29,20,17,,63.38
61,19,Texas Tech Univ,"$10,229",18.35,12.99,14,18,,63.33
62,51,Purdue Univ - Calumet,"$11,802",14.98,16.03,15,17,,63.01
63,97,Minnesota State University - Mankato,"$16,283",8.96,13.81,20,20,,62.77
64,80,Univ of Texas - Arlington,"$16,663",8.6,15.05,19,20,,62.65
65,105,Univ of Connecticut,"$14,316",11.14,15.38,18,18,,62.51
66,91,Georgia Institute of Technology,"$14,511",10.89,12.58,19,20,,62.47
67,23,Michigan State Univ,"$14,835",10.51,17.94,18,16,,62.44
68,60,Washington Univ - St Louis,"$14,305",11.15,14.23,19,18,,62.38
69,109,Bradley Univ,"$10,295",18.18,19.18,15,10,,62.36
70,32,Univ of Maryland - College Park,"$15,077",10.23,12.99,19,20,,62.21
71,54,Oklahoma State Univ,"$12,319",14.06,14.05,18,16,,62.11
72,17,Universit Degli Studi Di Brescia,"$19,722",6.19,15.88,20,20,,62.07
73,102,Rutgers Univ,"$17,116",8.19,13.81,20,20,,62
74,123,Kansas State Univ,"$19,160",6.58,19.18,18,18,,61.75
75,45,Queen's Univ - Ontario Canada,"$12,802",13.27,13.4,20,15,,61.67
76,10,Western University,"$22,346",4.65,16.29,20,20,,60.94
77,27,Lafayette College,"$11,001",16.57,12.99,15,16,,60.56
78,39,McGill Univ,"$20,210",5.88,17.53,19,18,,60.4
79,47,The Ohio State University,"$18,418",7.12,14.23,19,20,,60.34
80,88,Université Laval,"$14,076",11.44,18.76,20,10,,60.21
81,62,Universite de Sherbrooke,"$11,845",14.9,14.23,11,20,,60.13
82,72,Univ of North Florida,"$17,846",7.57,14.46,20,18,,60.03
83,78,North Carolina State Univ - Raleigh,"$16,399",8.85,17.11,19,15,,59.96
84,57,US Naval Academy,"$16,131",9.11,16.7,14,20,,59.81
85,74,Univ of Cincinnati,"$13,203",12.66,15.88,13,18,,59.53
86,6,Virginia Tech,"$19,850",6.11,18.26,15,20,,59.37
87,115,Cornell Univ,"$20,412",5.75,17.53,20,16,,59.27
88,12,FH - Joanneum Graz,"$24,424",3.67,14.96,20,20,,58.63
89,113,Univ of Guelph,"$11,872",14.85,12.58,16,15,,58.43
90,124,South Dakota State Univ,"$12,745",13.36,12.99,20,12,,58.35
91,103,Southern Illinois Univ - Edwardville,"$14,362",11.08,12.9,19,15,,57.98
92,33,Ferris State University,"$10,813",16.98,15.88,17,8,,57.86
93,55,Lawrence Technological Univ,"$17,476",7.87,14.96,18,17,,57.84
94,75,Old Dominion Univ,"$15,374",9.9,10.51,18,19,,57.41
95,67,Purdue Univ - W Lafayette,"$16,216",9.02,11.34,20,17,,57.36
96,3,Graz Technical Univ,"$18,847",6.8,12.16,18,20,,56.96
97,50,Lakehead Univ,"$14,633",10.75,12.16,17,17,,56.91
98,1,Oregon State Univ,"$19,607",6.27,18.35,17,15,,56.62
99,93,Fachhochschule Hamburg,"$27,526",2.48,16.7,20,17,,56.18
100,44,Clemson Univ,"$14,861",10.48,16.61,12,17,,56.09
101,77,Clarkson University,"$12,579",13.63,10.84,19,12,,55.47
102,107,Univ of Minnesota-Duluth,"$12,977",13,9.1,18,15,,55.1
103,106,Lehigh Univ,"$12,327",14.05,10.25,15,15,,54.3
104,36,Turabo Univ,"$17,106",8.19,11.75,19,15,,53.94
105,73,Florida International Univ,"$13,577",12.12,11.75,20,10,,53.87
106,98,Embry-Riddle Aero Univ - Daytona Beach,"$17,343",7.99,12.99,12,20,,52.98
107,63,Ryerson Univ,"$14,063",11.46,11.34,15,15,,52.8
108,85,Concordia University,"$21,671",5.01,14.64,18,15,,52.65
109,58,Worcester Polytechnic Inst,"$37,406",,16.7,19,15,,50.7
110,89,Univ of Utah,"$21,493",5.11,18.35,20,5,,48.46
111,127,Washington State Univ,"$20,220",5.87,15.46,4,18,,43.33
112,65,US Air Force Academy,"$31,809",1.22,14.23,16,7,,38.44
113,61,Rochester Institute of Technology,"$20,713",5.56,10.43,8,17,-50,-9.01
114,96,Michigan Tech Univ,"$16,032",9.21,13.81,18,16,-80,-22.98
115,121,Univ of Kentucky,"$13,632",12.04,3.5,17,17,-100,-50.46
,38,Univ of Puerto Rico-Mayaquez,,,,,,,
,41,York College of Pa,,,,,,,
,64,Mississippi State Univ,,,,,,,
,70,Univ of Evansville,,,,,,,
,117,Univ of Windsor,,,,,,,
