Place,CarNum,Team,AvgLapAdjTime,CompletedLaps,FuelUsed_L,CO2_kg,CO2PerLap,FuelType,FuelEfficiency,Score
46,46,San Jose State University,141.012,11,7.096,11.708,1.0644,E85,0.427,37.3
47,79,Georgia Southern Univ,165.844,9,3.637,8.401,0.9334,93,0.414,33.8
48,70,Penn State Univ - Harrisburg,156.223,10,4.297,9.926,0.9926,93,0.414,33.6
49,50,Univ of Michigan - Dearborn,151.064,11,6.869,11.333,1.0303,E85,0.412,33.2
50,11,Michigan State Univ,144.407,9,4.366,10.085,1.1206,93,0.396,28.6
,24,Univ of Toledo,175.491,8,2.224,3.669,0.4586,E85,,0
,89,Tennessee Tech Univ,169.501,11,2.274,5.252,0.4775,100,,0
,67,Univ of Guelph,167.250,11,2.584,5.969,0.5426,93,,0
,93,Universite Du Quebec a Trois-Rivieres,180.262,11,3.254,7.516,0.6833,93,,0
,41,Grand Valley State Univ,198.993,11,3.362,7.766,0.7060,93,,0
,110,US Naval Academy,169.700,8,2.712,6.264,0.7830,93,,0
,78,Temple Univ,197.331,6,2.051,4.737,0.7895,93,,0
,75,Old Dominion Univ,185.130,11,3.896,8.999,0.8181,93,,0
,101,Mississippi State Univ,191.463,6,3.010,4.966,0.8277,E85,,0
,26,Purdue Univ - Northwest,216.624,11,3.957,9.140,0.8309,93,,0
,42,Univ of Kentucky,184.335,10,3.856,8.907,0.8907,93,,0
,16,Kookmin Univ,171.403,11,4.267,9.856,0.8960,93,,0
,72,Florida International Univ,226.818,5,2.051,4.737,0.9474,93,,0
,20,Florida Inst of Tech,173.823,11,4.549,10.508,0.9553,93,,0
,111,Lakehead Univ,207.092,11,4.698,10.852,0.9865,100,,0
,49,Univ of Louisiana - Lafayette,244.222,9,4.397,10.157,1.1286,93,,0
,83,Univ of British Columbia - Okanagan,188.842,7,3.488,8.057,1.1510,100,,0
,17,Bradley Univ,234.502,11,5.727,13.229,1.2026,93,,0
,73,Louisiana State Univ,133.310,11,5.863,13.543,1.2312,93,,0
,98,Universidad Metropolitana,214.384,11,5.919,13.672,1.2429,93,,0
,124,Univ of Nebraska - Lincoln,157.332,11,8.293,13.683,1.2439,E85,,0
,92,Univ of Victoria,152.296,8,4.360,10.071,1.2589,93,,0
,108,Colorado Mesa University,168.632,11,6.337,14.638,1.3307,93,,0
,102,Lawrence Technological Univ,166.559,11,6.938,16.026,1.4569,100,,0
,54,Michigan Tech Univ,167.764,11,7.072,16.336,1.4851,100,,0
,51,Universidad Simon Bolivar,185.824,11,7.108,16.419,1.4926,93,,0
